Script Name,Script Location Path,Input File(s),Output File(s),Comment
create_clean_chartevents.ipynb,mimic_data_preprocessing/create_clean_chartevents.ipynb,CHARTEVENTS.csv,"01) chartevents_subset.parquet
02) chartevents_subset_measurement_count.parquet
03) chartevents_cleaning_02_multiple_measurements_only.parquet
04) flagged_values.parquet
05) chartevents_cleaning_03_values_in_valid_range.parquet
06) threshold_swap_candidates.parquet
07) threshold_swap_data.parquet
08) thresholds_fixed.parquet
09) chartevents_cleaning_04_exact_threshold_swaps_reverted.parquet
10) chartevents_cleaning_05_thresholds_in_valid_range.parquet
11) threshold_removal_candidates.parquet
12) threshold_removal_data.parquet
13) thresholds_to_be_removed.parquet
14) chartevents_cleaning_06_overlapping_thresholds_removed.parquet
15) chartevents_clean.parquet",Prepare the MIMIC-III data set CHARTEVENTS.csv for later use in the master project context by cleaning the vital parameter values and alarm threshold values it contains
add_dif_between_measurements.ipynb,mimic_data_preprocessing/add_dif_between_measurements.ipynb,"01) chartevents_subset.parquet
02) unique_icustays_in_chartevents_subset.parquet",chunk_analysis_data.parquet,File that is used to derive possible chunking rules
create_chunks.ipynb,mimic_data_preprocessing/create_chunks.ipynb,"01) chartevents_clean.parquet
02) unique_icustays_in_chartevents_subset.parquet","01) chartevents_clean_values_with_chunkid_65.parquet
02) chartevents_clean_values_and_thresholds_with_chunkid_65.parquet",65 in Putput File refers to difference to next measurement after which is being chunked
resample_cleaned_chartevents_chunks.ipynb,mimic_data_preprocessing/resample_cleaned_chartevents_chunks.ipynb,chartevents_clean_values_and_thresholds_with_chunkid_65.parquet,"01) chartevents_clean_values_and_thresholds_with_chunkid_65_resampled_median.parquet
02) chartevents_clean_values_and_thresholds_with_chunkid_65_resampled_mean.parquet","Resample previously cleaned and chunked CHARTEVENTS data as they originally have an inconsistent sampling rate, but forecasting requires a consistent sampling rate. Output filename suffix refers to the method used in downsampling (median or mean)."
chartevents_analysis.ipynb,mimic_chartevents_analysis/chartevents_analysis.ipynb,"01) chartevents_subset.parquet
02) unique_icustays_in_chartevents_subset.parquet",,Descriptive statistics for chartevents_subset.parquet (general and for three relevant parameters)
compute_unique_icustays_in_chartevents_subset.ipynb,mimic_chartevents_analysis/compute_unique_icustays_in_chartevents_subset.ipynb,chartevents_subset.parquet,unique_icustays_in_chartevents_subset.parquet,Compute unqiue ICU stays in chartevents_subset and save it for quick reuse in other scripts without having to run the calculation again.
create_sampling_rates.ipynb,mimic_chartevents_analysis/create_sampling_rates.ipynb,"01) chartevents_subset.parquet
02) unique_icustays_in_chartevents_subset.parquet",sampling_rates_for_icustay_itemid.parquet,
create_sampling_rates_for_chunks.ipynb,mimic_chartevents_analysis/create_sampling_rates_for_chunks.ipynb,chartevent_subset_values_with_chunkid_65.parquet,sampling_rates_for_chunkid.parquet,Same file as create_sampling_rates.ipynb just adapted to chunks
analyze_sampling_rates.ipynb,mimic_chartevents_analysis/analyze_sampling_rates.ipynb,sampling_rates_for_icustay_itemid.parquet,none,visualize boxplot and descriptive statistics
analyze_sampling_rates_for_chunks.ipynb,mimic_chartevents_analysis/analyze_sampling_rates_for_chunks.ipynb,sampling_rates_for_chunkid.parquet,none,Same file as analyze_sampling_rate just adapted to chunks
analyze_chunks_by_icustay.ipynb,mimic_chartevents_analysis/analyze_chunks_by_icustay.ipynb,chartevent_subset_values_with_chunkid_65.parquet,none,
derive_chunking_rules.ipynb,mimic_chartevents_analysis/derive_chunking_rules.ipynb,chunk_analysis_data.parquet,,proposes two chunking options (after 60 mins and after 120 mins)
plots_for_resampled_cleaned_chartevents_chunks.ipynb,mimic_chartevents_analysis/plots_for_resampled_cleaned_chartevents_chunks.ipynb,"01) chartevents_clean_values_and_thresholds_with_chunkid_65.parquet
02) chartevents_clean_values_and_thresholds_with_chunkid_65_resampled_median.parquet
03) chartevents_clean_values_and_thresholds_with_chunkid_65_resampled_mean.parquet",none,"Create time series plots, which allow to compare vital parameter values series before and after resampling"
generate_alarm_data.py,mimic_alarm_data_generation/generate_alarm_data.py,"01) chartevents_clean.parquet
02) chartevents_clean_values_and_thresholds_with_chunkid_65.parquet
03) unique_icustays_in_chartevents_subset.parquet","01) alarm_data.csv,
02) alarm_data_with_chunks_65.csv",Execute with chunked version of cleaned chartevents via parameter --chunks
